GRB,Time[UT],TriggerNumber,BAT RA(J2000),BAT Dec(J2000),BAT T90[sec],BAT Fluence(15-150 keV)[10-7 erg/cm2],XRT RA(J2000),XRT Dec(J2000),XRT Time to FirstObservation[sec],XRT Early Flux(0.3-10 keV)[10-11 erg/cm2/s],UVOT RA(J2000),UVOT Dec(J2000),UVOT Time toFirst Observation[sec],UVOT Magnitude,Other Observatory Detections,Redshift,Host Galaxy,Comments,References
230818A,23:27:34,1186032,"285.888
19:03:33.1","40.888
40:53:16.8",9.82,19,03:33.1,53:48.3,141.12,n/a,03:33.1,53:49.0,144,V=18.40,"MASTER-Tavrida, Fermi (GBM), GOTO, SAO RAS Zeiss-1000, NOT, KGO RC-25, Bassano Bresciano Observatory (250mm), Tautenburg (1.34m), AstroSat CZTI, SAO RAS (6m), Nickel (1m), KAIT (0.76m), Konus-Wind","2.42 (NOT: absorption)
2.42 (SAO RAS: absorption)", , ,"BAT: GCN 34479; GCN 34515
XRT: GCN 34479; GCN 34484; GCN 34489; Evans et al., 2009, MNRAS, 397, 1177
UVOT: GCN 34479; GCN 34486
Redshift: GCN 34485 (NOT)"
230506C,17:09:19,1167288,"134.371
08:57:29.0","45.131
45:07:51.6",31,17,57:28.2,07:58.6,4600,n/a,n/a,n/a,4600,V>19.2,"TSHAO Zeiss-1000, D50, T193-OHP, Fermi (GBM)",3.7, ,"Due to an observing constraint, Swift did not slew until T0+55.3 minutes.
UVOT: no detection","BAT: GCN 33731; GCN 33743
XRT: GCN 33736; GCN 33744; Evans et al., 2009, MNRAS, 397, 1177
UVOT: GCN 33739
Redshift: GCN 33749 (T193-OHP)"
230414B,16:14:21,1164180,"181.052
12:04:12.5","53.179
53:10:44.4",25.98,4.7,04:22.7,09:15.7,128.57,n/a,n/a,n/a,133,V>18.53,"Mondy/AZT-33IK, Nanshan/HMT (0.5m), GROWTH-India (0.7m), DFOT (1.3m), SAO RAS (1m), NOT, Dabancheng/GHOST (0.5m), AbAO AS-32, OSIRIS/GTC, Bassano Bresciano Observatory (IAU 565), Montarrenti Observatory (0.53m), DOT (3.6m), VIRT (0.5m), Nastro Verde Observatory, Nickel (1m), KAIT (0.76m)",3.568 (OSIRIS/GTC: absorption), , ,"BAT: GCN 33612; GCN 33645
XRT: GCN 33612; GCN 33613; GCN 33621; GCN 33626; Evans et al., 2009, MNRAS, 397, 1177
UVOT: GCN 33612; GCN 33642; GCN 33644
Redshift: GCN 33629 (OSIRIS/GTC)"
230328B,14:54:48,1162001,"291.037
19:24:08.9","80.013
80:00:46.8",19.23,43,24:01.6,00:34.4,110.33,n/a,24:01.9,00:34.6,114,V>17.6,"Fermi (GBM), AZT-33IK (Mondy), AS-32 (Abastumani), AstroSat CZTI, OASDG (0.5m), GROWTH-India, OHP/T120, Liverpool (2m), NUTTelA-TAO (BSTI), GRBAlpha, Konus-Wind, DOT (3.6m), CAHA/CAFOS (2.2m), GRANDMA/Kilonova-Cacther, ISON-Multa/Santel-400 (0.4m)",Minimal possible redshift value of z = 0.09, , ,"BAT: GCN 33527; GCN 33541
XRT: GCN 33527; GCN 33529; GCN 33533; Evans et al., 2009, MNRAS, 397, 1177
UVOT: GCN 33527; GCN 33556
Redshift: GCN 33609"
230325A,3:15:35,1161390,"296.854
19:47:25.0","-46.067
-46:04:01.2",38.05,13,47:23.9,-46:04:33.9,94.05,206,n/a,n/a,102,V>18.9,VLT (X-shooter),1.664 (VLT: emission), ,UVOT: no detection,"BAT: GCN 33516; GCN 33523
XRT: GCN 33516; GCN 33517; GCN 33518; GCN 33520; Evans et al., 2009, MNRAS, 397, 1177
UVOT: GCN 33516; GCN 33522
Redshift: GCN 33521 (VLT)"
230116D,21:04:43,1149293,"98.584
06:34:20.2","49.831
49:49:51.6",41,8.12,34:28.3,52:22.3,130.9,n/a,n/a,n/a,133,n/a,"Nanshan/NEXT (0,6m), Sintez-Newton/CrAO, SAO RAS (1m), GROWTH-India Telescope, Sintez-Newton/CrAO, KGO RC-25",3.81 (SAO RAS: absorption), , ,"BAT: GCN 33176; GCN 33194
XRT: GCN 33176; GCN 33180; GCN 33185; Evans et al., 2009, MNRAS, 397, 1177
UVOT: GCN 33176
Redshift: GCN 33187 (SAO RAS)"
221226B,22:41:20,1145959,"22.903
01:31:36.7","-41.515
-41:30:54.0",3.44,5.4,31:38.1,-41:31:36.0,102.93,n/a,n/a,n/a,76,V>19.3,"Fermi (GBM), VLT",2.694 (VLT: absorption),r=23.82 (Legacy Survey), ,"BAT: GCN 33108; GCN 33115
XRT: GCN 33108; GCN 33109; GCN 33111; Evans et al., 2009, MNRAS, 397, 1177
UVOT: GCN 33108; GCN 33114
Redshift: GCN 33110 (VLT)
Host: GCN 33110 (VLT)"
221110A,2:28:17,1136936,"29.106
01:56:25.4","-27.298
-27:17:52.8",8.98,5.1,56:23.8,-27:17:44.5,53.05,79.1,56:23.7,-27:17:45.09,83,V>19.5,"MASTER-OAFA, LCOGT (1m), COATLI (50cm), VLT",4.06 (VLT: absorption), , ,"BAT: GCN 32925; GCN 32931
XRT: GCN 32925; GCN 32929; GCN 32930; Evans et al., 2009, MNRAS, 397, 1177
UVOT: GCN 32925; GCN 32932
Redshift: GCN 32928 (VLT)"
221009A,14:10:17,1126853,"288.254
19:13:01.0","19.809
19:48:32.4",1068.4,740,13:03.9,46:22.7,91.6,2510,13:03.5,46:24.6,179,V= 15.55,"MASTER-SAAO, Fermi (GBM & LAT), Liverpool, SCT (0.28m), IPN, BOOTES-2/TELMA (60cm), OSN (0.9m), Sayan Observatory (AZT-33IK), MeerLICHT (0.6m), Nanshan (0.6m), VLT, SCT (0.36m), AGILE, REM (60cm), AMI-LA (@15.5 GHz), SAAO (1.8m), ATA (@1.5, 3, 6, 8, and 10 GHz), LOAO (1m), INTEGRAL, Solar Orbiter STIX, GROWTH-India (0.7m), SRG/ART-XC, Burke-Gaffney (0.61m), Al Khatim (0.36m), Lulin (40cm), Konus-Wind, Lick/Nickel (1m), AZT-20, NOEMA (@90 GHz), LHAASO, BlackGEM, iTelescope (T24, 0.61m), Sintez-Newton (350mm), GRBAlpha, GTC (10.4m), COATLI (50cm), LCOGT (1m), NICER, NuSTAR, eMERLIN (@1.51 GHz), SMA (@ 230.7 GHz), Konkoly (RC80), GMG (2.4m), MITSuME (50cm), ASKAP (@ 888 MHz), Lowell Discovery Telescope (4.3m), MeerKAT (@ 1.284 GHz), RTT-150 (1.5m), SIRI-2, Gemini-South, HEBS, OHP (120cm), MAXI, VLA, Pan-STARRS, Large Binocular Telescope, ALMA & ACA (@ 97.5, 145, & 203 GHz), ATCA (@ 16.7, 21.2, 33, 35, 45 & 47 GHz), LEIA, Faulkes Telescope North, Medicina (@ 8.2 GHz), GRANDMA, BOAO (1.8m), TNG (3.6m), BepiColombo-MGNS, LBT, DFOT (1.3m), James Webb Space Telescope, SARA-RM (1m), VLBA (@15.2 GHz), HST, Japanese VLBI Network (@ 6.86 and 8.45 GHz), DAMPE, Las Cumbres Observatory (2m, MuSCAT3), EVN (@ 8.3 & 5 GHz)","0.151 (VLT: absorption & emission from host)
0.1505 (GTC: absorption)", ,"Originally thought to be Swift J1913.1+1946.
XRT: discovery of multiple dust-scattering X-ray rings around GRB 221009A
Detection as sudden ionospheric disturbances (SID), See GCN 32744 & 32745","BAT: GCN 32632; GCN 32688
XRT: GCN 32632; GCN 32635; GCN 32651; GCN 32671; GCN 32680; GCN 33305; Evans et al., 2009, MNRAS, 397, 1177
UVOT: GCN 32632; GCN 32656
Radio: GCN 32653 (AMI-LA); GCN 32655 (ATA); GCN 32676 (NOEMA); GCN 32700 (eMERLIN); GCN 32707 (SMA); GCN 32736 (ASKAP); GCN 32740 (MeerKAT); GCN 32757 (VLA); GCN 32761 (ALMA & ACA); GCN 32763 (ATCA); GCN 32766 (ATCA); GCN 32791 (Medicina); GCN 32907 (VLBA); GCN 32949 (Japanese VLBI Network); GCN 33243 (EVN)
Redshift: GCN 32648 (VLT); GCN 32686 (GTC); GCN 32765 (VLT)
Other: GCN 32744; GCN 32745; GCN 32762; GCN 32780; GCN 32793; GCN 32808; GCN 32819; GCN 32828; GCN 32850"
220611A,18:01:51,1110090,"66.505
04:26:01.2","-37.265
-37:15:54.0",57,6.7,26:03.5,-37:15:35.6,149.22,n/a,n/a,n/a,153,V>17.0,"Gemini-South, VLT, Chandra",2.3608 (VLT: emission from host), ,UVOT: no detection,"BAT: GCN 32191; GCN 32197
XRT: GCN 32191; GCN 32192; GCN 32194; Evans et al., 2009, MNRAS, 397, 1177
UVOT: GCN 32191; GCN 32201
Redshift: GCN 32595 (VLT)
Host: GCN 32595 (VLT)"
220521A,23:20:21,1107466,"275.218
18:20:52.3","10.372
10:22:19.2",13.55,8.1,20:55.1,22:18.4,96.34,n/a,n/a,n/a,99,V>19.5,"Fermi (GBM), NOT, SAO RAS (1m), LCO (1m), MMT (6.5m), Gemini-South, ISON-Castelgrande, INTEGRAL, ALMA @ 97.5 GHz, ATCA @ 39 GHz","5.6 (NOT: absorption)
5.57 (Gemini-South)", ,UVOT: no detection,"BAT: GCN 32076; GCN 32090
XRT: GCN 32076; GCN 32077; GCN 32081; GCN 32086; Evans et al., 2009, MNRAS, 397, 1177
UVOT: GCN 32076; GCN 32085
Radio: GCN 32110 (ALMA); GCN 32111 (ATCA)
Redshift: GCN 32079 (NOT); GCN 32099 (Gemini-South)"
220117A,16:18:51,1093592,"91.590
06:06:21.6","-28.402
-28:24:07.2",49.81,16,06:17.4,-28:26:14.6,151.94,60.1,n/a,n/a,162,V>18.4,"VLT, LCO (1m), Fermi (GBM), Konus-Wind",4.961 (VLT: absorption), ,UVOT: no detection,"BAT: GCN 31466; GCN 31485
XRT: GCN 31466; GCN 31472; GCN 31477; Evans et al., 2009, MNRAS, 397, 1177
UVOT: GCN 31466; GCN 31482
Redshift: GCN 31480 (VLT)"
220107A,14:45:31,BAT/GUANO,"169.761
11:19:02.6","34.139
34:08:20.4",n/a,n/a,19:13.7,10:14.3,26700,n/a,19:13.7,10:14.5,26700,n/a,"Fermi (GBM), AstroSat (CZTI), MITSuME (50cm), Nanshan/NEXT, AbAO (AS-32), Terskol (K-800), SAO RAS Zeiss-1000 (1m), BTA (6m), Konus-Wind",1.246 (BTA: absorption), , ,"BAT: GCN 31402
XRT: GCN 31410; Evans et al., 2009, MNRAS, 397, 1177
UVOT: GCN 31415
Redshift: GCN 31423 (BTA)"
220101A,5:09:55,1091527,"1.360
00:05:26.4","31.758
31:45:28.8",173.36,250,05:24.9,46:07.7,80.78,1300,05:24.8,46:08.4,90,V=18.70,"Fermi (LAT & GBM), Xinglong (2.16m), AGILE, THO (16""), Liverpool (2m), CAHA (2.2m), NOT, Konkoly Observatory, Asiago, GMG (2.4m), OASDG (0.5m), Tautenburg (1.34m), LCO (1m), ALMA @ 97.5 GHz, TNG (3.6m), DFOT (1.3m), VLA @ 6.0 Ghz, iTelescope (T21), AZT-33IK (Mondy), SAO RAS Zeiss-1000 (1m), Konus-Wind, THSAO Zeiss-1000, KAP (1.88m)","4.61 (Xinglong: absorption)
4.618 (NOT: absorption)
4.61 (Asiago: absorption)", , ,"BAT: GCN 31347; GCN 31348; GCN 31369
XRT: GCN 31347; GCN 31349; GCN 31355; Evans et al., 2009, MNRAS, 397, 1177
UVOT: GCN 31347; GCN 31351
Radio: GCN 31372 (ALMA); GCN 31385 (VLA)
Redshift: GCN 31353 (Xinglong); GCN 31359 (NOT); GCN 31363 (Asiago)
Other: GCN 31365; GCN 31648"
211207A,20:52:56,1088376,"149.601
09:58:24.2","-24.360
-24:21:36.0",3.73,1.9,58:29.7,-24:21:34.8,80.5,n/a,58:29.8,-24:21:31.3,85,V>18.5,"VLT, Fermi (GBM)",2.272 (VLT: absorption), , ,"BAT: GCN 31182; GCN 31189
XRT: GCN 31182; GCN 31184; GCN 31185
UVOT: GCN 31182; GCN 31204
Redshift: GCN 31188 (VLT)"
211024B,22:20:36,1081073,"154.708
10:18:49.9","24.566
24:33:57.6",603.5,68,18:51.0,34:05.7,105,n/a,n/a,n/a,6237,V=19.02,"NEXT (0.6m), CAHA (2.2m), Ondrejov D50",1.1137 (VLT: emission from host), ,"Because of a conflicting preplanned observation, there was no immediate XRT or UVOT observation.","BAT: GCN 30980; GCN 30989
XRT: GCN 30994
UVOT: GCN 31005
Redshift: GCN 31800 (VLT)
Host: GCN 31800 (VLT)"
211023B,21:05:52,1080859,"170.314
11:21:15.4","39.133
39:07:58.8",1.3,1.7,21:14.1,08:07.2,95.3,n/a,21:14.3,08:08.8,98,V>18.8,"CAHA (2.2m), LDT (4.3m), Gemini-North, Sayan/AZT-33IK, Subaru (8.2m)",0.862 (LBT: spectroscopic),"Likely host contribution (Gemini-North, Subaru, LBT)", ,"BAT: GCN 30960; GCN 30979
XRT: GCN 30960; GCN 30966; GCN 30967
UVOT: GCN 30960; GCN 30975
Redshift: GCN 31107 (LBT)
Host: GCN 31002 (Gemini-North); GCN 31038 (Subaru); GCN 31107 (LBT)"
