Circular Number,Circular Date,Text,Predicted Redshift,Predicted GRB Number,Predicted Telescope Name,Predicted Redshift Type
10031,2009-10-18 19:20:08.000,"GRB 091003: Gemini-N redshift of possible host galaxyA. Cucchiara, D. B. Fox (PSU), S. B. Cenko (U. Berkeley), N. Tanvir (U. 
Leicester),
E. Berger (Harvard U.) report on behalf of a larger collaboration:

""On October 17.20 UT we observed  the possible host galaxy of the Fermi/LAT
GRB 091003 (McEnery at al, GCN 9985 and Perley et al. GCN 9997) with
Gemini GMOS-N.

We took a sequence of 2 spectra of 1800s each covering the 6000-10000A
wavelength range. The spectra clearly show emission lines which we 
interpreted
as [OII]3727, Hbeta and we resolved the [OIII]4959,5007 doublet.
All these identifications are consistent with redshift z = 0.8969 for 
this galaxy.

The galaxy is detected in our 300s R-band acquisition image.
The estimated magnitude, calibrated using 3 SDSS stars is:

R = 22.65 +- 0.05 mag

This value is brighter than the cataloged magnitude, which may indicate a
contribution of the afterglow. After subtracting the contribution
of the galaxy we derive an estimate of the OT flux, R = 23.65 +- 0.05 mag.

We thank the Gemini staff for performing these observations.""",0.8969,GRB 091003,Gemini,Spectroscopic
10042,2009-10-19 16:24:15.000,"GRB 091018: VLT/X-shooter spectraA. de Ugarte Postigo (OAB-INAF), P. Goldoni
(APC/Univ. Paris 7 and SAp/CEA), C.C. Thoene
(OAB-INAF), N. Tanvir (Univ. Leicester),
P. Jakobsson (Univ. of Iceland), S.D. Vergani
(APC/Univ. Paris 7), H. Flores (Paris Obs.)
D. Malesani (DARK/NBI), A. Levan (Univ.
Warwick) and J.P.U. Fynbo (DARK/NBI) report
on behalf of the X-shooter GRB collaboration:

X-shooter observed the afterglow of GRB 091018
(Stamatikos et al. CGN 10034) starting at 23:58 UT
of the 18th Oct 2009. The observation consisted of
4 x 600s exposures, having a mean epoch of October
19.0148 UT, 3.53 hours after the burst. In the spectra
we detect the continuum in the complete range from
3000 to 24800 Angstroms. On a preliminary analysis
we find several absorption features including AlII
(1670), AlIII (1854, 1862), FeII (2260, 2344, 2374,
2382, 2586, 2600) MnII (2576, 2594, 2606), MgII
(2797, 2803), MgI (2852), CaII (3934, 3969) at a
common redshift of 0.9710 +/- 0.0003, consistent with
the observation reported by Chen et al. (GCN 10038).
There is also a tentative detection of [OII], [OIII] and
H-alpha emission lines from the host galaxy at the
same redshift. Further analysis is ongoing.

We thank the ESO observing staff, in particular A.
Smette, C. Martayan and C. Cid.",0.9710 +/- 0.0003,GRB 091018,X-shooter,Spectroscopic
10053,2009-10-21 08:24:22.000,"GRB 091020: NOT spectroscopic redshiftDong Xu, Johan P.U. Fynbo (DARK/NBI), Nial R. Tanvir (Univ. Leicester), 
Jens Hjorth, Giorgos Leloudas, Daniele Malesani (DARK/NBI), Pall 
Jakobsson (Univ. Iceland), Paul A. Wilson (NOT and Univ. Oslo), Johannes 
Andersen (NBI and NOT), report on behalf of a larger collaboration:

We observed the optical afterglow of GRB 091020 (Racusin et al., GCN 
10048; Gorbovskoy et al., GCN 10052) with the Nordic Optical Telescope 
equipped with ALFOSC. We detect the afterglow with a magnitude R ~ 20, 
based on a nearby USNO star, with mean time Oct 21.220 UT (0.315 days 
after the GRB).

We secured low-resolution spectroscopy (30 min exposure), covering the 
wavelength range 3500-9100 AA, starting on Oct. 21.231 UT. Wavelength 
calibration was carried out using archival frames.

In a preliminary analysis we detect several absorption features, which 
we interpret as FeII 2344, 2374, 2382, Al III 1854, 1862, Mg II 2798 (Mg 
II 2803 is blended with the telluric A band), all at the common z = 
1.71. There is flux in the spectrum down to ~3800 AA, setting a firm 
upper limit z < 2.13 to the GRB redshift.",z = 1.71,GRB 091020,Nordic Optical Telescope (NOT),Spectroscopic
10065,2009-10-24 13:49:15.000,"GRB 091024 Gemini-North redshiftA. Cucchiara, D. Fox (PSU) & N. Tanvir (U. Leicester) report:

We observed the afterglow of GRB 091024 (Marshall et al. GCN 10062;
Mundell et al. GCN 10063) with the GMOS-N spectrograph on Gemini North
beginning at 10.43 UT.  The resultant spectrum, which spans 5925A to 10200A,
shows a strong continuum and well detected lines of CaII H & K, MgI (2853A)
at a common redshift of z=1.092.  Further analysis is ongoing.

We thank the Gemini-N support staff, in particular R. Pike, for
obtaining these observations.",z=1.092,GRB 091024,Gemini North,Spectroscopic
10093,2009-10-27 19:12:10.000,"GRB 091024: Keck/LRIS SpectroscopyS. B. Cenko (UC Berkeley), M. M. Kasliwal and S. R. Kulkarni (Caltech)
report on behalf of a larger collaboration:

We have obtained optical spectra of the afterglow of GRB091024 (Marshall
et al., GCN 10062) with the Low Resolution Imaging Spectrometer mounted on
the 10-m Keck I telescope.  Observations began at 11:01 UT on 24 October
2009 (~ 2.1 hours after the burst) and covered the wavelength range from ~
3500 - 10000 A.

In addition to the features identified by Cucchiara, Fox, and Tanvir (CaII
H & K, Mg I), we also find strong absorption features we identify as Mg
II (2796 / 2803) and Fe II (2344, 2374, 2382, 2586, and 2600) at a common
redshift of z = 1.091.  The lack of Lyman-alpha absorption places an upper
limit of z <~ 1.9 on the redshift of GRB091024.",z = 1.091,GRB091024,10-m Keck I telescope,Spectroscopic
10100,2009-10-29 07:49:19.000,"GRB 091029: Gemini-South RedshiftR. Chornock, D. A. Perley, and B. E. Cobb (UC Berkeley) report on behalf of a
larger collaboration:

We obtained optical spectra of the afterglow of GRB 091029 (Grupe et al., GCN
10097; Filgas et al., GCN 10098; LaCluyze et al., GCN 10099) using GMOS on
Gemini-South.  Our spectra cover the wavelength range of 3900-8100 angstroms
with the R400 grating.  Our first 600s exposure, starting at 06:06 UT on Oct. 29
(2.2 hr after the BAT trigger) reveals absorption lines from Lyman-alpha, C II,
C IV, Si II, and Si IV at a common redshift of 2.752, which we identify as
the redshift of the GRB.  The afterglow is still quite bright (R~17.8 mag at
t=2.02 hr) in the acquisition image.

We would like to thank German Gimeno and the Gemini staff for their assistance.",2.752,GRB 091029,Gemini-South,Spectroscopic
10176,2009-11-19 11:01:41.000,"GRB 091117: Gemini-North spectroscopy of DSS galaxyR. Chornock and E. Berger (Harvard) report:

We obtained spectra of the DSS galaxy coincident with the XRT source (GCN 10173)
seen in the Swift observations of the short GRB 091117 (GCN 10171) using GMOS on
Gemini-North.  A pair of 1800s exposures using the R400 grating were taken
starting at 07:27 UT on Nov. 19.  Numerous emission lines are present at
z=0.096.  The slit was aligned through both the nucleus and the point source on
the spiral arm (GCN 10174).  The off-nuclear point source exhibits the
high-equivalent-width nebular emission lines expected of an H II region and is
therefore unlikely to be related to the afterglow of GRB 091117.  In addition,
the nuclear spectrum shows a broad component to the H-alpha line (FWHM ~ 1670
km/sec), indicative of an AGN.  The AGN could also be responsible for the
observed X-ray emission.",0.096,GRB 091117,Gemini-North,Spectroscopic
10202,2009-11-28 11:27:46.000,"GRB 091127: Gemini-N redshiftA. Cucchiara, D. Fox (PSU), A. Levan (Warwick U.) and
N. Tanvir (U. Leicester) report:

On November 28.40 UT we observed the afterglow of the Swift
GRB 091127 (Troja et al. GCN 10191; Smith et al. GCN 10192)
with the GMOS-N spectrograph on Gemini North. 

The observation consists of 2 exposures of 900 seconds each
with the R400 grating, covering 4000-8000A wavelength range.

The spectra shows a bright featureless continuum and two emission
lines which we identified as [OIII]4959 and 5007 respectively
at the common redshift of z = 0.490.

Therefore we suggest this as redshift for GRB 091127.

We thank the Gemini-N support staff, in particular A. Stephens,
for performing these observations.",0.490,GRB 091127,Gemini North,Spectroscopic
10233,2009-12-02 23:41:17.000,"GRB 091127: redshift confirmation with X-shooterC.C. Thoene (INAF-OAB), P. Goldoni (APC/Univ. Paris 7 and SAp/CEA)
S. Covino (INAF-OAB), L.A. Antonelli (INAF-OAR), D. Malesani, J.P.U.
Fynbo (DARK/NBI), A.J. Levan (U. Warwick), P. Jakobsson (U. Iceland),
H. Flores (Paris Obs.), B. Milvang-Jensen, J. Hjorth, D. Watson (DARK/NBI),
K. Wiersema, N. R. Tanvir (Univ. Leicester), A. de Ugarte Postigo
(INAF-OAB) report on behalf of the X-shooter GRB collaboration:

We observed the afterglow of GRB 091127 (Troja et al. GCN 10191, Smith
et al. GCN 10192) with X-shooter at the VLT starting at 03:17 UT on
Dec 2, 2009. The observation consisted of  4x1500s exposures,  with a
mean epoch 4.2 days after the burst when the magnitude of the
afterglow was R ~ 21 mag (Haislip et al. GCN 10230). We detect the
continuum in the range from 3400 to 24800 Angstrom. The S/N in the blue
part of the spectrum is low due to the effect of the nearby Moon.

In a preliminary analysis using an archival wavelength calibration we
detect several emission features superimposed on the afterglow
continuum, namely [OII] (3727, 3729), H-beta (4863), [OIII]  (4960,
5007) and H-alpha (6563) at a common redshift of 0.49034 +/- 0.00018.
This redshift is consistent with the observations reported by
Cucchiara et al. (GCN 10202). We do not detect any obvious absorption
features at that redshift.

We thank the ESO observing staff, in particular H. Korhonen and S. Stefl.",0.49034 +/- 0.00018,GRB 091127,VLT,Spectroscopic
10246,2009-12-04 17:32:12.000,"GRB 091109A: GROND confirmation of redshift z = 3.5GRB 091109A: GROND confirmation of redshift z = 3.5

P. Afonso, T. Kruehler, A. Rau, and J. Greiner (all MPE Garching) report
on behalf of the GROND team:

GROND (Greiner et al. 2008, PASP 120, 405), mounted at the 2.2m ESO/MPI
telescope at La Silla Observatory (Chile), reobserved the field of GRB
091109A (Oates et al., GCN #10138) simultaneously in the g'r'i'z'JHK
bands.

Observations started 2009-11-20 00:42, 10.8 days after the trigger and
lasted for an effective exposure of 75 min in g'r'i'z' and 60 min in JHK.

At the position of the optical afterglow (Guidorzi et al. GCN#10142,
Oates GCN#10143, Afonso et al., GCN #10158) we do not detect any source
down to a limiting magnitude of r' > 25.1.

Comparing with the brightness of r' = 23.6 +- 0.1 mag (AB) reported for
the 1st epoch (Afonso et al., GCN #10158), the last imaging clearly
shows a fading of more than 1.5 magnitudes. The 1st epoch was hence
dominated by afterglow light, favoring a redshift of around z = 3.5 +/-
0.4.

A thorough analysis of the VLT data (GCN # 10158) was limited by the
very low S/N of the optical spectrum and does not yield more precise
redshift constraints.",3.5 +/- 0.4,GRB 091109A,2.2m ESO/MPI telescope at La Silla Observatory (Chile),Spectroscopic
