Circular Number,Circular Date,Text,Predicted Redshift,Predicted GRB Number,Predicted Telescope Name,Predicted Redshift Type,Parsed Redshift
24835,2019-06-15 01:26:58.000,"GRB 190613A: SEDM ObservationsV. Cunningham (U of Maryland), J. D. Neill (Caltech), S. B. Cenko
(NASA GSFC), and R. Walters (Caltech) report on behalf of the
SEDM team:

We observed the optical counterpart to GRB 190613A (Ambrosi et al., GCN
24798) with the Spectral Energy Distribution Machine (SEDM) on the 60 inch
telescope at Palomar Observatory. The SEDM is a low resolution (R ~ 100)
integral field unit spectrometer with a multi-band (ugri) rainbow camera imager
(see Blagorodnova et al. 2018, PASP, 130, 035003, and Rigault et al. 2019,
astro-ph/1902.08526).

The SEDM began observing the optical counterpart at 04:18:22 UTC (8.75
minutes after the burst trigger time). We performed an 1800 s exposure over the
wavelength range 3800-9200 A. The continuum emission is well-fit by a power
law spectrum with index alpha = 0.56 (f_nu ~ nu^-alpha).  We detect an
absorption line at an observed wavelength of ~ 4597 A. We tentatively identify
this line as due to Lyman alpha at z = 2.78 - however due to the lack of
corroborating features we consider this redshift tentative currently.

[GCN OPS NOTE(07sep19): Per author's request, in the last paragraph,
the ""alpha = 0.56"" was changed to ""alpha = 1.4"".]",2.78,GRB 190613A,Palomar Observatory,Spectroscopic,2.78
999,2001-03-01 18:08:06.000,"GRB 010222: High-Resolution Keck SpectroscopyGRB 010222: High-Resolution Keck Spectroscopy

S. Castro, S. G. Djorgovski, S. R. Kulkarni, J. S. Bloom, T. J. Galama,
D. E. Reichart, P. A. Price (Caltech), H. Ebeling (IfA Hawaii), and D. A. 
Frail (NRAO), report on behalf of the Caltech-NRAO-CARA GRB collaboration:

Spectra of the optical transient associated with GRB 010222 (GCN # 959, 961)
have been obtained on 23.61 February UT by H. Ebeling, using the Echelle 
Spectrograph and Imager (ESI) on the Keck-II 10-m telescope.  Preliminary 
analysis shows the following:

We confirm the existence of 3 absorption systems reported earlier (GCN # 965,
974, 989), with improved heliocentric redshifts as follows:

(1) z_abs = 1.4768 +- 0.0002  (based on 22 metallic lines)
    This system, presumably associated with the host galaxy, appears to 
    have some kinematic substructure, possibly with two distinct systems at
    z_1 = 1.47667 +- 0.00005  and  z_2 = 1.47755 +- 0.00005, i.e., with a
    restframe velocity separation of 106 km/s, typical for internal motions
    in galaxies.  The equivalent widths of the lines are unusually strong
    in comparison to metallic line absorbers seen in the spectra of quasars,
    indicating a high column density of gas, probably consistent with a
    star-forming region environment.

(2) z_abs = 1.1561 +- 0.0001  (based on 9 metallic lines)

(3) z_abs = 0.9274 +- 0.0001  (based on 5 metallic lines)

Systems (2) and (3) are typical for the metallic line absorbers at 
comparable redshifts.  Detection of two such foreground systems is not 
unusual.  Further analysis of the data is in progress.

This note can be cited.",1.4768 +- 0.0002,GRB 010222,Keck-II 10-m telescope,Spectroscopic,1.4768
9797,2009-08-14 05:07:03.000,"GRB090814A: VLT spectroscopyP. Jakobsson (Univ. Iceland), A. de Ugarte Postigo (INAF-OAB),
J. Gorosabel (IAA-CSIC), N. Tanvir (Leicester),
L. Christensen (ESO), J.P.U. Fynbo (DARK/NBI)
report on behalf of a larger collaboration,

We have observed the field of GRB 090814A (Ukwatta et al. GCN 9793)
using FORS2 at the VLT (Paranal observatory) starting at 02:05 UT
(70 minutes after the burst). We detect the object identified by  
Updike et
al. (GCN 9794) with a magnitude of R~21.5.

The spectrum shows continuum down to at least 3900 Angstroms.
Non detection of Ly-alpha implies a limit of z < 2.2. We identify a
weak absorption system at z=0.696 through the detection of MgII and  
CaII.
This is therefore likely to be the redshift of the GRB but we note that
it could also be produced by an intervening system and thus the strict
redshift range for this GRB would be 0.696 < z < 2.2.

We acknowledge the excelent support from Parnal observatory, in
particular J. Smoker and L. Rivas.",0.696,GRB 090814A,FORS2 at the VLT (Paranal observatory),Spectroscopic,0.696
9712,2009-07-27 14:06:50.000,"GRB090726: 6-meter telescope redshiftT. Fatkhullin (SAO RAS, Russia), J. Gorosabel  (IAA-CSIC, Spain),
A. de Ugarte Postigo (OAB-INAF, Italy), A. Moskvitin, A. Valeev,
S. Fabrika, O. Sholukhova (SAO RAS, Russia), A. Castro-Tirado
(IAA-CSIC, Spain) & V. Sokolov (SAO RAS, Russia) on behalf of a
larger colaboration, report:

Following the detection of the GRB090726 optical
transient (Moskvitin et al., GCN 9709) we observed
the afterglow with the SAO RAS 6-m telescope in
Caucasus using SCORPIO in the spectroscopic mode.
The wavelength coverage and resolution were
3700-7800AA and FWHM=10A, respectively.
One 10-min long exposure was obtained starting at
00:15 27 July 2009 UT (T-T0 = 1.545 hours after the
trigger). A number of absoption lines were detected
in the spectrum. These are  SiI 1526.7, CIV 1548.2,1550.8,
AlII 1670.8, SiII 1304.4,1309.3, SiIV 1393.7,1402.7,
FeII  1608.4 as well as Ly alpha at common z = 2.71
which we interpret as the GRB090726 redshift.

This message may be cited.

P.S. We made a typo in GCN 9709.
In the first line one should read ""GRB090726""
instead of ""GRB090618"". We apologize for our carelessness.",2.71,GRB090726,SAO RAS 6-m telescope,Spectroscopic,2.71
965,2001-02-22 18:45:01.000,"Redshift of the Optical Transient of GRB010222P. M. Garnavich (Notre Dame), M. A. Pahre, S. Jha, M. Calkins,
K. Z. Stanek, J. McDowell and R. Kilgard (Harvard-Smithsonian Center
for Astrophysics) report:

A spectrum of the optical transient (GCN 961, 962, and 963) associated
with GRB010222 (GCN 959, 960) was obtained with the F. L. Whipple
Observatory 1.5m Tillinghast telescope (+ FAST spectrograph) on 2001
February 22 beginning at UT 12:18, 4.92 hours after the burst.  Two
1200s spectra were obtained with a 3 arcsec wide slit and 300 l/mm
grating, yielding 6 Angstrom resolution over the range from 3620 to
7560 A. The OT was approximately R=18.4 mag around the time of the
spectroscopy (GCN 963).

This spectrum shows a blue continuum and many narrow absorption lines
with the following preliminary identifications:

Observed	Line		Rest		Redshift
Wavelength	ID		Wavelength
(angstrom)			(angstrom)

6405.9		FeII		2585.4		1.477
6438.7		FeII(UV1)	2598.4,2599.4	1.477
6924.2		MgII		2796		1.476
6941.6		MgII		2803		1.476

The FeII (2585,2599) and MgII (2796,2803) doublet absorption features
are strong, absorbing approximately 50 and 80% of the continuum at
those wavelengths.  These absorption lines constrain the redshift of
the optical transient associated with GRB010222 to be at >= 1.476.  If
the lines come from a host galaxy associated with the GRB, then the
redshift is 1.476.

Additional unidentified absorption lines appear in the spectrum, data
analysis is continuing.

This message can be cited.",1.476,GRB010222,F. L. Whipple Observatory 1.5m Tillinghast telescope (+ FAST spectrograph),Spectroscopic,1.476
9518,2009-06-18 12:37:12.000,"GRB 090618: Lick/KAST SpectroscopyS. B. Cenko, D. A. Perley (UC Berkeley), V. Junkkarinen, M. Burbidge (UC
San Diego), and K. Miller (UCO Lick Observatory) report on behalf of a
larger collaboration:

We have obtained a spectrum of the afterglow (GCNs 9512, 9513, 9514, 9515)
of GRB 090618 with the KAST spectrograph on the 3-m Shane telescope at
Lick Observatory.  Observations began at 08:48 UT on 18 June 2009,
approximately 20 minutes after the burst.  On the blue channel (using the
830/3460 grism, providing wavelength coverage from 3200 - 4400 A), we
detect a number of strong absorption features that we identify as Mg II,
Mg I, and Fe II at a common redshift of z = 0.54.  We believe this likely
to be the redshift of the GRB, as the lack of Lyman-alpha absorption
limits the GRB host to lie at z <~ 1.6.

Further analysis is in progress.",z = 0.54,GRB 090618,Lick Observatory,Spectroscopic,0.54
9409,2009-05-20 08:54:17.000,"GRB 090519: VLT spectroscopic redshiftA. J. Levan (Univ. Warwick), P. Jakobsson (U. Iceland), C. C. Thoene
(INAF/OAB), P. D'Avanzo (U.  Bicocca & INAF/OAB), A. De Cia (U. Iceland),
J. P. U. Fynbo, J. Hjorth, D. Malesani (DARK/NBI), D. Fugazza (INAF/OAB),
N. R. Tanvir (U. Leicester) report on behalf of a larger collaboration:

Using FORS2 on the ESO Very Large Telescope, we have obtained 
low-resolution spectra (3 x 30 min) of the optical afterglow of GRB 
090519 (Perri et al., GCN 9400; Thoene et al., GCN 9403) with the grism 
300V, covering the wavelength range 3500-9200 AA. In the acquisition 
image  the afterglow has a magnitude of R ~ 23.5. The first spectrum 
was  taken approximately 4 hours after the burst.

In a preliminary analysis we detect a break around 4400 AA and strong 
absorption features around 5000 AA and 5900 AA. We interpret these 
features as the Lyman limit, Lyman-beta and Lyman-alpha at a redshift of 
z = 3.85. This is in agreement with the photometric redshift reported by 
Rossi et al. (GCN 9408).

We thank the Paranal staff for excellent support, in particular Gianni 
Marconi, Kieran O'Brien and Patricia Guajardo.

[GCN OPS NOTE(20may09): Per the original first-author's (CCT) request,
the author list was changed.]",z = 3.85,GRB 090519,ESO Very Large Telescope (VLT),Spectroscopic,3.85
9383,2009-05-17 08:38:02.000,"GRB 090516: VLT spectrum (correction & update)A. de Ugarte Postigo (ESO), J. Gorosabel (IAA/CSIC), D. Malesani,
J.P.U. Fynbo (DARK/NBI), A. J. Levan (Univ. Warwick), report on
behalf of a larger collaboration:

We have reanalysed the spectrum of the afterglow of GRB 090516
(Rowlinson et al., GCN 9374; Guidorzi et al., GCN 9375) obtained
with the ESO VLT (de Ugarte Postigo et al. GCN 9381). Due to an
error in the preliminary reduction, the wavelength calibration had an
offset that has been now corrected.

In our new analysis we detect a strong Ly-alpha absorption
together with absorption lines of NV, SII, SiII, NiII, CI, SiIV, CIV,
FeII, AlII, AlIII as well as SiII* at a redshift of 4.109+/-0.002,
which we identify as the redshift of the afterglow. This is in
agreement with the photometric redshift obtained with GROND (Rossi
et al. GCN 9382).

The spectrum also shows an intervening system at z=2.697+/-0.002,
characterised by the presence of several FeII absorption lines.

[GCN OPS NOTE(17may09): Per author's request, the Subject line
was changed from ""091516"" to ""090516"". And in the first sentence
from ""090416"" to ""090516"".]",4.109+/-0.002,GRB 090516,ESO VLT,Spectroscopic,4.109
9264,2009-04-26 21:36:18.000,"GRB 090426 Keck LRIS redshiftE. Levesque (IfA, U. Hawaii), R. Chornock (UC Berkeley), L. Kewley (IfA, U.
Hawaii), J. S. Bloom (UC Berkeley), J. X. Prochaska (UCO/Lick), D. A. Perley, S.
B. Cenko, and M. Modjaz (UC Berkeley) report:

We obtained optical spectra of the afterglow of GRB 090426 (Cummings et al., GCN
9254) using LRIS on the Keck-I telescope, covering the wavelength range of
3000-9940 Angstroms.  Our first exposures started at 13:55 UT, 1.1 hrs after the
BAT trigger.  Preliminary analysis of the spectra reveals a set of absorption
lines at 4387, 5030, 5061, and 5592 Angstroms, which we identify as Lyman-alpha,
Si IV 1394, Si IV 1403, and the C IV 1548/1551 doublet at a common redshift of
2.609.  At this redshift, the observed T90 (Sato et al., GCN 9263) is 0.33 sec
in the rest frame of the burst.  This burst may be on the short end of the long
GRB population, similar to recent examples such as GRB 090423 (Krimm et al. GCN
9198, Palmer et al. GCN 9204, Thoene et al. GCN 9216, Tanvir et al. GCN 9219,
Krimm et al. GCN 9241), but we encourage further high-energy analyses of this event.",2.609,GRB 090426,Keck-I,Spectroscopic,2.609
9243,2009-04-25 03:02:24.000,"GRB 090424 Gemini-South RedshiftR. Chornock, D. A. Perley, S. B. Cenko, and J. S. Bloom (UC Berkeley) report on
behalf of a larger collaboration:

We obtained optical spectra of the afterglow of GRB 090424 (Cannizzo et al., GCN
9223) using GMOS on Gemini-South.  Our spectra cover the wavelength range of
4400-8600 angstroms.  Our first 1200s exposure, starting at 01:51:56 April 25 UT
(11.7 hr after the trigger) reveals.a pair of absorption lines at 6077 and 6130
Angs, which we identify as the Ca II H+K doublet at z=0.544.  Additionally, an
emission line is present at 5758 A, which is consistent with the [O II] 3727
doublet at the same redshift, which we therefore identify as the redshift of the
host galaxy.  We note that this redshift is significantly higher than the
photo-z noted by Evans & Holland (GCN 9226).",0.544,GRB 090424,GMOS on Gemini-South,Spectroscopic,0.544
