Circular ID,Subject,Date,Label
-4.0,GRB 970228: Keck/LRIS Optical Observations,1997-08-14 00:00:00,Not Gravitational Wave
-3.0,GRB 970828: Palomar Observations,1997-09-02 00:00:00,Not Gravitational Wave
-2.0,RXTE Observations of SGR 1814-13,1997-09-13 00:00:00,Not Gravitational Wave
-1.0,Possible new SGR from US Naval Observatory,1997-09-12 00:00:00,Not Gravitational Wave
0.0,IRAS 18119-1342 and the possible new SGR,1997-09-23 00:00:00,Not Gravitational Wave
1.0,GRB 970925: BATSE Localization,1997-09-26 00:00:00,Not Gravitational Wave
2.0,GRB 971024: USNO Observations,1997-10-26 00:00:00,Not Gravitational Wave
3.0,GRB 971024: KPNO Optical Observations,1997-10-26 00:00:00,Not Gravitational Wave
4.0,GRB 971024: Refined analysis by  USNOFS Observations,1997-10-27 00:00:00,Not Gravitational Wave
5.0,GRB 971024: KPNO Optical  Observations Summary,1997-10-26 00:00:00,Not Gravitational Wave
6.0,GRB 971214: USNOFS Observations Summary,1997-12-15 00:00:00,Not Gravitational Wave
7.0,Radio Observations of GRB 971214 at the VLA,1997-12-17 00:00:00,Not Gravitational Wave
8.0,GRB 971214: Optical Observations,1997-12-17 00:00:00,Not Gravitational Wave
9.0,Optical Observations of GRB 971214 at Keck,1997-12-17 00:00:00,Not Gravitational Wave
10.0,GRB 971214: KPNO Optical Observations,1997-12-18 00:00:00,Not Gravitational Wave
11.0,GRB 971214: Apache Point  Observatory Optical Observations,1997-12-18 00:00:00,Not Gravitational Wave
12.0,GRB 971214: Redshift from Keck Optical Observations,1997-12-18 00:00:00,Not Gravitational Wave
13.0,GRB 971214: Redshift from Keck Optical Observations,1997-12-18 00:00:00,Not Gravitational Wave
14.0,GRB 971214: EUVE Observations ,1997-12-18 00:00:00,Not Gravitational Wave
15.0,Sub-millimeter Observations of GRB  971214 at the JCMT,1997-12-23 00:00:00,Not Gravitational Wave
16.0,GRB971214: Optical Observations and Calibrations ,1997-12-24 00:00:00,Not Gravitational Wave
17.0,GRB 971227: Optical observations ,1997-12-30 00:00:00,Not Gravitational Wave
18.0,GRB 971227: CAHA R-band images ,1997-12-30 00:00:00,Not Gravitational Wave
19.0,GRB971227: LOTIS observations ,1997-12-30 00:00:00,Not Gravitational Wave
20.0,GRB971227: Further CAHA R-band images,1997-12-31 00:00:00,Not Gravitational Wave
21.0,Optical Observations for GRB 971227 ,1997-12-31 00:00:00,Not Gravitational Wave
22.0,GRB 971227: Optical clarifications ,1998-01-01 00:00:00,Not Gravitational Wave
23.0,GRB971227: Plaskett R-band  observations,1998-01-01 00:00:00,Not Gravitational Wave
24.0,Optical Observations on GRB 971227 ,1998-01-02 00:00:00,Not Gravitational Wave
25.0,Optical Observations of the GRB 971227 field,1998-01-02 00:00:00,Not Gravitational Wave
26.0,GRB 971227: Optical Observations ,1998-01-04 00:00:00,Not Gravitational Wave
27.0,GRB971214: Keck R & I-band Observations,1998-01-11 00:00:00,Not Gravitational Wave
28.0,Near-IR follow-up on GRB 971227,1998-01-11 00:00:00,Not Gravitational Wave
29.0,GRB 971214: Redshift from Keck Observations,1998-01-11 00:00:00,Not Gravitational Wave
30.0,Optical Observations of GRB 970508 ,1998-02-24 00:00:00,Not Gravitational Wave
31.0,GRB970508 SAO RAS optical observations,1998-03-26 22:08:00,Not Gravitational Wave
32.0,GRB980326 optical observations,1998-03-28 17:56:00,Not Gravitational Wave
33.0,GRB980326 optical observations,1998-03-29 05:04:37,Not Gravitational Wave
34.0,GRB980326 optical observations,1998-03-30 20:00:18,Not Gravitational Wave
35.0,GRB980326 optical observations,1998-03-31 19:11:38,Not Gravitational Wave
36.0,GRB980329 optical observations,1998-04-01 13:55:07,Not Gravitational Wave
37.0,GRB980329 optical observations,1998-04-01 17:06:12,Not Gravitational Wave
38.0,GRB980329 optical observations,1998-04-03 04:39:09,Not Gravitational Wave
39.0,GRB980329 near IR observations,1998-04-03 04:43:52,Not Gravitational Wave
40.0,GRB980329 VLA observations,1998-04-03 07:10:15,Not Gravitational Wave
41.0,GRB980329 optical observations,1998-04-03 10:14:45,Not Gravitational Wave
42.0,GRB980326 optical observations,1998-04-03 10:32:04,Not Gravitational Wave
43.0,GRB980329 optical observations,1998-04-03 11:00:40,Not Gravitational Wave
44.0,GRB980329 infrared observations,1998-04-03 14:03:12,Not Gravitational Wave
45.0,GRB980329 optical observations,1998-04-04 01:31:58,Not Gravitational Wave
46.0,GRB980329 near-IR observations,1998-04-04 15:19:06,Not Gravitational Wave
47.0,GRB980329 near-IR observations,1998-04-05 00:54:00,Not Gravitational Wave
48.0,GRB980329 optical observations,1998-04-06 19:07:37,Not Gravitational Wave
49.0,GRB980329 IPN annulus,1998-04-06 20:12:03,Not Gravitational Wave
50.0,GRB980329 sub-millimeter observations,1998-04-07 18:02:12,Not Gravitational Wave
51.0,GRB980329 Keck K-band observations,1998-04-07 23:43:38,Not Gravitational Wave
52.0,GRB980329,1998-04-08 12:08:04,Not Gravitational Wave
53.0,GRB980326 IPN annulus,1998-04-09 01:05:15,Not Gravitational Wave
54.0,"GRByymmdd, Announcement of automation",1998-04-10 22:50:21,Not Gravitational Wave
55.0,"GRB980329, Fading IR counterpart to radio source",1998-04-12 14:10:51,Not Gravitational Wave
56.0,"GRB980326, optical observations",1998-04-22 04:23:19,Not Gravitational Wave
57.0,"GRB980326, optical observations",1998-04-23 05:30:47,Not Gravitational Wave
58.0,GRB980326 X-ray Observations,1998-04-23 22:05:05,Not Gravitational Wave
59.0,GRB 980329 ROSAT observation,1998-04-28 05:57:50,Not Gravitational Wave
60.0,GRB 980425 optical observations,1998-04-29 18:17:16,Not Gravitational Wave
61.0,report on BSAX observations of GRB980425,1998-04-29 20:23:22,Not Gravitational Wave
62.0,GRB 980425 optical observations,1998-04-30 11:20:39,Not Gravitational Wave
63.0,GRB980425: Radio Observations,1998-05-01 20:44:46,Not Gravitational Wave
64.0,GRB980425: optical obs.,1998-05-01 20:56:14,Not Gravitational Wave
65.0,GRB 980425 optical observations,1998-05-02 20:57:29,Not Gravitational Wave
66.0,SAX J0840.7+2248 Optical Observations,1998-05-03 00:13:16,Gravitational Wave Counterpart
67.0,GRB980425 BATSE observations,1998-05-08 21:46:07,Not Gravitational Wave
68.0,IPN web site of GRBs,1998-05-11 18:40:19,Not Gravitational Wave
69.0,BSAX Observations of GRB980425 field,1998-05-12 13:58:01,Not Gravitational Wave
70.0,GRB 980425 Brightness Temperature,1998-05-13 00:52:08,Not Gravitational Wave
71.0,GRB 980425 Radio Light Curve,1998-05-13 03:15:41,Not Gravitational Wave
72.0,BeppoSAX GRB ALERT: updated position of grb980515,1998-05-16 01:20:13,Not Gravitational Wave
73.0,GRB980515: SAX-WFC updated position,1998-05-18 22:38:00,Not Gravitational Wave
74.0,"GRB980519, BeppoSAX-WFC position",1998-05-19 17:02:00,Not Gravitational Wave
75.0,"GRB980519, BeppoSAX-WFC updated position",1998-05-19 17:19:24,Not Gravitational Wave
76.0,BATSE on-board GRB trigger change,1998-05-19 22:34:03,Not Gravitational Wave
77.0,"GRB980515, BeppoSAX IAUC to be submitted",1998-05-19 22:57:51,Not Gravitational Wave
78.0,GRB980519 optical observations,1998-05-20 02:46:49,Not Gravitational Wave
79.0,GRB 980519 Optical Observations,1998-05-20 12:35:45,Not Gravitational Wave
80.0,GRB980519 Optical Observations,1998-05-20 15:11:30,Not Gravitational Wave
81.0,GRB980519 IPN POSITION,1998-05-20 17:01:26,Not Gravitational Wave
82.0,GRB980519 Optical Observations,1998-05-20 19:55:36,Not Gravitational Wave
83.0,GRB980519 Optical Observations,1998-05-20 23:16:27,Not Gravitational Wave
84.0,GRB980519 optical observations,1998-05-21 09:17:17,Not Gravitational Wave
85.0,"GRB970519, optical follow-up at Schmidt Calern",1998-05-21 14:56:00,Not Gravitational Wave
86.0,GRB980519 BATSE Observations,1998-05-21 18:33:07,Not Gravitational Wave
87.0,GRB 980519 Optical Observations,1998-05-22 00:47:18,Not Gravitational Wave
88.0,GRB980519 optical observations,1998-05-22 22:19:07,Not Gravitational Wave
89.0,GRB 980519,1998-05-22 22:21:24,Not Gravitational Wave
90.0,GRB980519 I-band observations,1998-05-22 22:23:30,Not Gravitational Wave
91.0,GRB980519 optical observations,1998-05-22 23:19:18,Not Gravitational Wave
92.0,GRB 980519 Optical Observations,1998-05-25 23:58:13,Not Gravitational Wave
93.0,BATSE on-board GRB trigger change,1998-06-01 18:35:57,Not Gravitational Wave
94.0,SGR1900+14,1998-06-03 01:03:48,Not Gravitational Wave
95.0,SGR1900+14,1998-06-03 01:40:08,Not Gravitational Wave
96.0,GRB980519 Secondary Standards,1998-06-05 00:37:19,Not Gravitational Wave
97.0,SGR 1900+14,1998-06-05 00:43:43,Not Gravitational Wave
98.0,GRB971214 Secondary Standards,1998-06-05 23:52:32,Not Gravitational Wave
99.0,"GRB980613, BeppoSAX WFC positions",1998-06-13 15:35:21,Not Gravitational Wave
100.0,GRB980611,1998-06-13 17:54:26,Not Gravitational Wave
101.0,GRB980613 Near Infra-Red Observations,1998-06-14 05:15:09,Not Gravitational Wave
102.0,GRB 980613 optical/IR obs.,1998-06-14 11:56:29,Not Gravitational Wave
103.0,GRB 980613 new optical/IR observations,1998-06-15 19:53:08,Not Gravitational Wave
104.0,GRB980613 BeppoSAX-NFI follow up,1998-06-15 23:10:17,Not Gravitational Wave
105.0,GRB980613 observations from Palomar,1998-06-16 13:01:02,Not Gravitational Wave
106.0,GRB980613 Optical Observations,1998-06-16 23:16:03,Not Gravitational Wave
107.0,"Discovery of a new SGR source, SGR1627-41",1998-06-18 03:36:20,Not Gravitational Wave
108.0,GRB 980613 optical observations,1998-06-18 14:37:20,Not Gravitational Wave
109.0,GRB 980613 Optical Observations,1998-06-18 16:18:04,Not Gravitational Wave
110.0,SGR 1627-41,1998-06-18 18:49:41,Not Gravitational Wave
111.0,"SGR1627-41, BeppoSAX-GRBM detections",1998-06-18 22:31:25,Not Gravitational Wave
112.0,GRB 980613: BATSE Observations,1998-06-19 01:46:59,Not Gravitational Wave
113.0,Reduced error box of SGR 1627-41,1998-06-19 03:40:23,Not Gravitational Wave
114.0,GRB 980613:  Detection of the probable host galaxy,1998-06-19 07:24:37,Not Gravitational Wave
115.0,"SGR1627-41, Refined IPN annulus location",1998-06-19 13:55:01,Not Gravitational Wave
116.0,"SGR1627-41, RXTE/ASM observations",1998-06-19 17:20:20,Not Gravitational Wave
117.0,GRB 980613:  Optical transient and its host galaxy,1998-06-19 23:23:44,Not Gravitational Wave
118.0,"GRB980613, optical observations",1998-06-22 15:26:21,Not Gravitational Wave
119.0,GRB 980613 Near-IR observations,1998-06-23 20:36:15,Not Gravitational Wave
120.0,SGR1900+14 field optical observations,1998-06-30 17:05:16,Not Gravitational Wave
121.0,Radio observations of SGRs,1998-07-01 17:10:46,Not Gravitational Wave
122.0,SGR1627-41,1998-07-03 23:44:44,Not Gravitational Wave
123.0,GRB980703 optical followup,1998-07-04 18:56:25,Not Gravitational Wave
124.0,GRB980519 observation report,1998-07-06 11:22:28,Not Gravitational Wave
125.0,GRB980703,1998-07-06 20:11:29,Not Gravitational Wave
126.0,GRB 980703: ASM Position & Intensity,1998-07-06 22:01:04,Not Gravitational Wave
127.0,BeppoSAX NFI observations of GRB 980703,1998-07-06 22:25:08,Not Gravitational Wave
128.0,GRB980703: radio source/optical transient,1998-07-06 23:08:34,Not Gravitational Wave
129.0,GRB980706,1998-07-07 00:21:21,Not Gravitational Wave
130.0,GRB980703 (optical R observations),1998-07-07 02:39:52,Not Gravitational Wave
131.0,GRB 980703 H-band Observations,1998-07-07 04:08:44,Not Gravitational Wave
132.0,GRB980703 (I band observations),1998-07-07 13:14:54,Not Gravitational Wave
133.0,GRB 980703,1998-07-07 15:23:11,Not Gravitational Wave
134.0,GRB980613 Optical Observations,1998-07-07 18:13:02,Not Gravitational Wave
135.0,GRB980703: LOTIS observation at early times,1998-07-07 23:25:03,Not Gravitational Wave
136.0,GRB980703 Transient Optical Follow-Up,1998-07-08 01:09:23,Not Gravitational Wave
137.0,GRB980703:  Spectrum of the proposed optical counterpart,1998-07-08 01:14:18,Not Gravitational Wave
138.0,RXTE Observation of GRB 980706,1998-07-08 03:51:42,Not Gravitational Wave
139.0,GRB 980703:  Spectrum of the proposed optical counterpart,1998-07-08 08:03:20,Not Gravitational Wave
140.0,GRB980703 H-band Observations,1998-07-09 00:02:42,Not Gravitational Wave
141.0,GRB980703: Radio transient,1998-07-09 02:10:20,Not Gravitational Wave
142.0,GRB980703 optical observations,1998-07-09 13:14:21,Not Gravitational Wave
143.0,GRB 980703: BATSE Observations,1998-07-09 15:45:26,Not Gravitational Wave
144.0,GRB980703 optical photometry,1998-07-12 06:03:58,Not Gravitational Wave
145.0,GRB 980703 (NFI observations),1998-07-17 16:59:48,Not Gravitational Wave
146.0,GRB980703 - BeppoSAX/GRBM detection,1998-07-17 20:30:24,Not Gravitational Wave
147.0,"GRB980703, Host galaxy multicolor photometry",1998-07-28 12:43:21,Not Gravitational Wave
148.0,"GRB980519, Optical Observations",1998-07-29 16:15:36,Not Gravitational Wave
149.0,Optical Observations of the Host Galaxy of GRB 980519,1998-08-03 17:26:21,Not Gravitational Wave
150.0,"GRB971214, association with a Galactic star?",1998-08-16 15:31:05,Not Gravitational Wave
151.0,GRB970508 optical observations,1998-08-21 17:21:17,Not Gravitational Wave
152.0,GRB980703 Very Long Baseline Interferometry,1998-08-27 15:49:28,Not Gravitational Wave
153.0,"SGR1900+14, BeppoSAX-GRBM observations",1998-09-01 15:49:39,Not Gravitational Wave
154.0,GRB 980923 BATSE Observations,1998-09-30 19:42:09,Not Gravitational Wave
155.0,GRB980425: X-ray revised positions,1998-10-20 21:26:03,Not Gravitational Wave
156.0,GRB980425 Optical Follow-up,1998-10-22 05:47:13,Not Gravitational Wave
157.0,"GRB980329 R,I flux calibration and R,I,K upper limits",1998-11-19 06:44:24,Not Gravitational Wave
158.0,BeppoSAX NFI Observation of GRB980425,1998-12-16 14:23:16,Not Gravitational Wave
159.0,GRB 981220: RXTE/ASM and BeppoSAX/GRBM results,1998-12-22 17:14:20,Not Gravitational Wave
160.0,GRB981220 IPN error box,1998-12-22 18:06:16,Not Gravitational Wave
161.0,GRB 980326/Host Galaxy,1998-12-23 02:48:56,Not Gravitational Wave
162.0,"GRB 981220, optical observations",1998-12-23 04:33:28,Not Gravitational Wave
163.0,GRB 981220 Optical Observations,1998-12-23 09:41:29,Not Gravitational Wave
164.0,GRB 981220,1998-12-23 20:06:07,Not Gravitational Wave
165.0,GRB981220 Optical Observations,1998-12-23 20:31:13,Not Gravitational Wave
166.0,GRB981220 I-band Observations,1998-12-24 10:57:03,Not Gravitational Wave
167.0,GRB 981220: BeppoSAX/GRBM results,1998-12-24 15:40:36,Not Gravitational Wave
168.0,"GRB 981220, radio observations",1998-12-24 18:48:32,Not Gravitational Wave
169.0,GRB981226 Optical Observation,1998-12-27 07:00:13,Not Gravitational Wave
170.0,"GRB 981220, radio observations",1998-12-27 17:50:52,Not Gravitational Wave
171.0,GRB 981220,1998-12-27 18:20:07,Not Gravitational Wave
172.0,GRB 981226 optical observations,1998-12-27 23:29:52,Not Gravitational Wave
173.0,GRB 981226 - Infrared Observations,1998-12-28 03:58:18,Not Gravitational Wave
174.0,"GRB981226, BeppoSAX Christmas GRB",1998-12-28 05:03:57,Not Gravitational Wave
175.0,GRB 981220 optical R and I observations,1998-12-28 17:11:54,Not Gravitational Wave
