Circular ID,Subject,Date,Label
-4.0,GRB 970228: Keck/LRIS Optical Observations,1997-08-14 00:00:00,Optical Observations
-3.0,GRB 970828: Palomar Observations,1997-09-02 00:00:00,Optical Observations
-2.0,RXTE Observations of SGR 1814-13,1997-09-13 00:00:00,High Energy Observations
-1.0,Possible new SGR from US Naval Observatory,1997-09-12 00:00:00,High Energy Observations
0.0,IRAS 18119-1342 and the possible new SGR,1997-09-23 00:00:00,Optical Observations
1.0,GRB 970925: BATSE Localization,1997-09-26 00:00:00,Optical Observations
2.0,GRB 971024: USNO Observations,1997-10-26 00:00:00,Optical Observations
3.0,GRB 971024: KPNO Optical Observations,1997-10-26 00:00:00,Optical Observations
4.0,GRB 971024: Refined analysis by  USNOFS Observations,1997-10-27 00:00:00,Optical Observations
5.0,GRB 971024: KPNO Optical  Observations Summary,1997-10-26 00:00:00,Optical Observations
6.0,GRB 971214: USNOFS Observations Summary,1997-12-15 00:00:00,Optical Observations
7.0,Radio Observations of GRB 971214 at the VLA,1997-12-17 00:00:00,Radio Observations
8.0,GRB 971214: Optical Observations,1997-12-17 00:00:00,Optical Observations
9.0,Optical Observations of GRB 971214 at Keck,1997-12-17 00:00:00,Optical Observations
10.0,GRB 971214: KPNO Optical Observations,1997-12-18 00:00:00,Optical Observations
11.0,GRB 971214: Apache Point  Observatory Optical Observations,1997-12-18 00:00:00,Optical Observations
12.0,GRB 971214: Redshift from Keck Optical Observations,1997-12-18 00:00:00,Optical Observations
13.0,GRB 971214: Redshift from Keck Optical Observations,1997-12-18 00:00:00,Optical Observations
14.0,GRB 971214: EUVE Observations ,1997-12-18 00:00:00,Optical Observations
15.0,Sub-millimeter Observations of GRB  971214 at the JCMT,1997-12-23 00:00:00,Optical Observations
16.0,GRB971214: Optical Observations and Calibrations ,1997-12-24 00:00:00,Optical Observations
17.0,GRB 971227: Optical observations ,1997-12-30 00:00:00,Optical Observations
18.0,GRB 971227: CAHA R-band images ,1997-12-30 00:00:00,Optical Observations
19.0,GRB971227: LOTIS observations ,1997-12-30 00:00:00,Optical Observations
